"","artist_name","album_name","release_date","album_id","year","song_id","song_name","tempo","loudness","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","genre","jazz"
"141","Young Igi","Dzielny Pacjent","2022-06-07","3qBZYwCwVJebHQte87R7tV",2022,"0Q6S6lZxrkN1y87pmgNN5o","Dzielny Pacjent",114.202959137278,-6.27731642761341,0.353221759272281,0.689750633225027,0.267151611245021,0.236686275337433,0.415406058731456,0.244197415912501,0.360978761769283,0.202733982845676,0.316586636375008,0.320136902641354,0.175648843532225,0.266449506396313,50.7514907245537,-12.5393223830476,0.341427214555838,-11.058523513754,15.1255253126894,-28.3320435536609,-6.37685749530582,-3.57400955436161,-4.06374530233598,-5.87130898884272,-11.1051278052424,3.26780313193775,"polish",0
"142","SHANGUY","La Louze (Remixes)","2021-01-08","3DuymMbgDoTQi78I9sd4yg",2021,"2Zfsi5FqdOGWbn7avIOwLB","La Louze - Djs from Mars Remix",122.256363562376,-19.5154179800927,0.412786560486807,0.121660839411547,0.402110767022431,0.245612987596324,0.175887547355119,0.214325382755731,0.133852267825991,0.555795069985302,0.192815474787434,0.0735332777709097,0.0978661739536545,0.216964675828629,32.8417790143679,-126.977442114188,4.94426272846527,45.3599836012555,41.5701518944108,-12.6957177001003,-2.86982283732366,14.4329603447068,-12.7233577814865,-5.16064690450681,-10.7245167546462,2.41008623727696,"polish",0
"143","Piotr Anderszewski","Fantaisies","2017-01-13","6gTBTM0Ggs5supJcpSrIgj",2017,"7oFDNmzC18KFLZIE6vQvCu","Mozart: Piano Sonata No. 14 in C Minor, K. 457: II. Adagio",76.0247858671797,-8.39022958668359,0.49485372370885,0.577550624621084,0.264039296514609,0.35587356505738,0.288910939254979,0.392320184833766,0.340956218883266,0.217407613464091,0.198319749718789,0.233610259047598,0.377548004808205,0.19947499800387,43.5252102887841,-34.2233155243309,-21.3076170235738,-5.19338668082217,21.8226453459322,-15.5297009041057,15.7638407950412,-4.7166973009677,-0.906386748905483,-2.69136805079875,-16.6298482277339,-0.665931731508047,"polish",0
"144","Vader","The Empire","2016-11-04","4m1kK6KZ5sOAIc4MUXw71t",2016,"73tOIOZlK1Tg4aoYeNfKxn","No Gravity",114.227955163375,-7.78269757196935,0.664465763823863,0.39309124586768,0.410781566267849,0.288265743303693,0.272764968433523,0.262683291487495,0.267103051633185,0.421403439663314,0.287771210081606,0.339831937494272,0.351247136753639,0.351088528891322,49.9950228821133,-0.10433950908891,17.0419328772149,-10.2993126096001,18.7825545907214,-31.0489682713056,11.3847501049987,0.344578707397249,5.60198507866248,3.27160456348254,-10.4767386048754,-5.39648233038812,"polish",0
"145","Karol Szymanowski","Szymanowski: Piano Works","2021-11-05","3MXANI4HABgvYAaF9b7pWO",2021,"2sMP4H3bv0G6iDHauHxeWW","20 Mazurkas, Op. 50, M56: No. 10, Allegramente. Vivace. Con brio",165.86026158,-14.1969717,0.341441009785004,0.395526360587062,0.302558416368622,0.331076468490949,0.369743629901396,0.562675513336736,0.71708451810943,0.512869760334523,0.35730050242327,0.35685962148447,0.340985408071311,0.332709000272692,35.2126856841099,37.1600541207901,-18.2707096029652,19.5312903212655,14.8190888431111,3.06248517903276,-19.9508787030303,9.15777363414371,-9.49229864896102,12.2814927371126,-33.9548496199422,2.85208999041923,"polish",0
"146","Cypis","Chamskie Disco","2016-06-17","6D1yRxArDHYfh7Lq96iRNH",2016,"4TsnHVssSIS6EuNwyanzte","Outro",139.38174154314,-10.6909313604483,0.299448820659823,0.517470124647337,0.217797864918715,0.290303423543527,0.311826234589817,0.212319589422838,0.318642006593542,0.239876534598028,0.411202366088964,0.355399900257179,0.189826914002723,0.160965555795038,44.1150915204384,26.4145640837702,-12.3616147168216,-4.80948155983125,21.771273189649,-27.7153734050171,17.4385728929683,-1.28862340024752,-0.276524267532897,-1.43396111253266,-13.0683778172112,6.52440548316554,"polish",0
"147","Sara James","The Voice: Ones To Watch","2022-12-01","2JzMxMUOR9tAgqwTlkGYXO",2022,"09PwSgRrZWBUPPgbm6887C","Ça pourrait être pire",111.399382906208,-8.86503165135748,0.38356331437135,0.592847282972283,0.404751970827978,0.308192638663063,0.385675092720739,0.431763027262311,0.551973670109636,0.34123988958514,0.442923171526242,0.502079000565629,0.355814650491236,0.372443833635361,49.6959326968982,85.9364325733972,-17.4903897251853,-28.6797636031526,-0.93131427874685,-36.2456430899186,-2.3250818696038,-0.355542711029388,-3.7492647213754,3.35043575645137,-9.33548485675901,-1.28604674706243,"polish",0
"148","Cypis","Narkotyki są nielegalne","2015-11-03","2KgIZKlpVDIuP80fnRNWEQ",2015,"1oztlZPG2PSm5Mw0vutkJt","Kwas wpierdolił mi mózg",120.023460294587,-8.08706736687513,0.513608001863955,0.363850993721,0.369064637440741,0.217841869467925,0.321180396176126,0.377389429711141,0.242665723698442,0.344210998434653,0.354374931608973,0.522631017950886,0.381250773498191,0.376982543740769,49.1708157368952,23.2393832438652,12.0163832650964,-0.323455151533338,22.2080362137652,-26.8977853517763,-5.62860419050946,3.09580004216612,3.74814025815257,5.5490579965781,-11.4720514265409,-9.71877816510215,"polish",0
"149","Wojciech Kilar","Kilar: Bram Stoker's Dracula / Death and the Maiden / King of the Last Days","2005-02-01","54Bm1vleeBRaSHoeXcI0E9",2005,"3nA8PYmgZopiXMHQ9uhGTZ","Bram Stoker's Dracula: The Party",135.013160270412,-8.49643355020977,0.629879505832121,0.680792778847216,0.427090294946836,0.486426075791105,0.519520818715966,0.647626634281592,0.558895286515274,0.474051499176296,0.387476883387907,0.381216083262062,0.296382353441678,0.190427430567514,46.3941064673033,34.7151679893084,-22.7309163976905,25.0690275398764,-8.06550603314042,-47.0412622734596,7.46472957352723,2.90337016760429,-16.4819749810837,10.2038028457642,-16.90044958965,3.97877713158404,"polish",0
"150","Rafał Blechacz","Blechacz, Rafal: Piano Recital","2010-05-01","0UxVLgEznxwU9NnGbiDWzS",2010,"6Zgz24zkXQrV1gvbLwtau7","Variation 11: Andantino dolce affettuoso",100.029597997642,-9.66369456878271,0.405620620575582,0.575693464519506,0.266551760238063,0.414502906421988,0.376888615085389,0.331189411284886,0.278028123469131,0.295857392604679,0.480965804890621,0.257722387943267,0.280522381450907,0.344019484309829,47.5589076627647,40.684283619586,-3.02544391524245,-3.93762244356886,31.2579300481076,-29.121164040397,-8.65616052596846,-7.38499466257816,-6.5907011306801,3.79311110883959,-9.01672635238908,0.532055054661998,"polish",0
