"artist_name","album_name","release_date","album_id","year","song_id","song_name","tempo","loudness","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","genre","rock"
"Maggie Lindemann","debbie downer","2022-02-10","4jxtbLNDuxXJwXk8D9EhS6",2022,"6VTzauIrG2hjKtKFYFJfMT","debbie downer",165.180387173333,-2.34660399954446,0.617246600298533,0.554017924242988,0.594094517442852,0.448484139008558,0.419073007831951,0.479491371879948,0.351113281563717,0.422514961711235,0.317280370568496,0.536583864222674,0.354797966845938,0.346370239369067,56.7587714381026,56.4375281804606,31.8045613136133,-9.93504841636077,15.4552034436405,-34.5653968692877,15.6137236899725,4.07405127855998,-2.67378117352491,4.53925281417398,-10.1045862190877,-3.94809229491198,"post-punk",0
"Cobra Starship","Night Shades (Deluxe Edition)","2011-08-29","6AAHtZJCoS0xZLSmzVXOd4",2011,"4QSf9Y4ESeunmUYq0kcph4","Anything for Love (feat. Shaggy) - Cobra Starship Mix [Cobra Starship Mix Bonus Track]",131.09988311722,-18.5915991014263,0.547242826335209,0.528573878504869,0.514877343354634,0.50255460601943,0.46403158420807,0.613830233860489,0.388472228707066,0.429297010155447,0.452723523740847,0.357422428548881,0.372304753568711,0.435589973396783,39.2226206795965,76.0362383604117,31.6920492953086,-2.32271282648925,-1.48234961044344,-23.2022369923359,-9.46032051300936,3.08039048905034,-14.7284619228715,-3.20389472424246,-5.51208060866601,-1.00569295968324,"post-punk",0
"Joy Division","TOTAL","2011-06-03","3rPC5Y8e9S6dGGkWvRYPRD",2011,"61E8w4M1XI9PSYjWNXIRkA","Ceremony - 2011 Total Version",83.2004630617164,-11.6307892599438,0.318887973020304,0.291392631880618,0.386057367630299,0.236742334585262,0.362938583729162,0.21722408000783,0.322458750164627,0.354447645423914,0.219472200291516,0.355168415685937,0.210629767451764,0.332270853111726,43.2713703684649,20.8093836495471,-7.20383769661774,1.53825003695149,-3.1601163066515,-9.68995422106012,-6.62010057798889,7.6336090915856,-11.2889961505598,-2.91861887153089,-16.1214297667384,-2.47368291431648,"post-punk",0
"Bauhaus","Bauhaus - 1979-1983 Volume One","1986-05-01","45dOGV9xFXC7Y9eUJsWWWl",1986,"0rHGE78Acp9sO0X0wtr1Iz","In the Flat Field",98.1675815878402,-3.56799306640816,0.631083146169179,0.700434032526203,0.442968783651299,0.259032949046147,0.281993545399705,0.348000216293637,0.513418447502387,0.395618171350336,0.385382503432536,0.405122584199685,0.32758813639741,0.470129932365039,49.7330738433697,66.1334842767214,-21.1924739420495,39.7298350873003,-11.8738687518574,-18.7933103831916,-16.8505026188494,2.7943633923072,-2.41299482654782,2.87032651121027,-17.4045297640689,4.15688793126019,"post-punk",0
"Talking Heads","The Name of This Band Is Talking Heads (Expanded 2004 Remaster)","1982-03-24","2WTDHjiVNCHY3ju9kmGNOY",1982,"3P4dUjdsYqklU2vGN12rWk","Stay Hungry - Live at Capitol Theater, New Jersey",145.926351472723,-7.88445088355961,0.558738124131845,0.490458577027325,0.362304378119593,0.375303543959605,0.430545626329092,0.418420467169921,0.489030411195463,0.519421365854749,0.437776665835181,0.447593602269728,0.47687062038701,0.558032621087205,51.1191406882633,71.0471463398999,19.9346190697534,-15.9176490150762,-11.9810516349527,-31.4922739039116,0.447795827360095,0.77598419758951,-5.47238156339654,3.53507676095051,-7.65903123598759,-10.0299014201178,"post-punk",0
"The Cab","2022 欧美网络热歌","2022-05-25","0NNQtbrhmU6KuVIf39RgdY",2022,"7yDuTXO0hKOCRjigQkN539","SPRING BREAK IN MEXICO",89.8486187165058,-3.89356320205158,0.342164901164514,0.509028641524427,0.232751659977268,0.238702829690624,0.419103636493742,0.261893047039297,0.311788320089351,0.228031925539785,0.277744962414571,0.250634683907776,0.246536089579049,0.40152160267103,53.4751874957592,47.299637970919,18.599755297324,-9.22504868904556,11.2347929353294,-28.570705863401,10.5228581544762,3.0260855083283,-1.66879703328768,0.799796300530937,-10.4964102441822,1.24226807693239,"post-punk",0
"The Smiths","Guitar Pop","2023-02-24","7DGxDnk2ELJTO8nSMCKZ7i",2023,"6BeJgx8KmpPqYwklWuznXR","This Charming Man - 2011 Remaster",137.706769064172,-3.14184838115288,0.300679300813763,0.458972614081933,0.31146437458011,0.385274905761324,0.272791360774724,0.377374394637129,0.684457038059477,0.255818975064312,0.221867891911964,0.198731030725595,0.268256355681071,0.434798905732008,54.0677525262806,145.210494024181,4.50070582640539,8.08823721644724,-21.0458626599859,-25.7515078756905,-27.0550097853826,7.8690267081325,-7.51294443663228,0.911153069310317,-16.7121448239942,-3.09981092137697,"post-punk",0
"The Replacements","Closing Time (Live 1991)","2020-12-17","19dz8tp2LeLzBBxb66zak4",2020,"5nc2P1NEWEZXygGNQ7L93H","Waitress in the Sky - Live 1991",132.03102319818,-7.44344835948635,0.509095216453895,0.527874031351438,0.49403726481135,0.311772143575838,0.330726752395933,0.268769779438219,0.538399820396694,0.449298601898657,0.385953841765112,0.435870201787282,0.280936285431967,0.632356972895976,50.640478809619,56.1698721025433,29.8032831876396,5.32270538621618,29.4236900133215,-33.1976484918354,7.06708625299641,2.37305362948702,-5.80395710739202,2.53211370722894,-10.0891901001404,-0.167149592043588,"post-punk",0
"Lebanon Hanover","X","2020-05-22","793KB4x47A8icaIrB0j82V",2020,"5YSpoIO7HibFdcRQAU0PMz","Narin Yalnızlık (She Past Away Sahara Mix)",176.593743027197,-14.5466061460148,0.43820979726206,0.332164755215124,0.249920714431226,0.163626216916558,0.362612705875163,0.191088282146349,0.204839968790743,0.176231246455346,0.264877000285202,0.322252341223924,0.402935818244785,0.509957641949153,41.7081221520127,59.8745350531698,25.1296851765808,23.4009003252526,20.2366847740385,-24.6683977963657,-1.03080853235007,1.87561515555737,-9.77305154779172,2.45247627583116,-6.87935309383149,1.36040265107562,"post-punk",0
"The Cure","Show","1993-10-26","0oi8Xnmhy3lMsSlpeoXvmP",1993,"1qrORdrfuqfhR0WvNb4PpK","End - Live At The Palace, Auburn Hills, Michigan",123.000919494607,-14.475343737956,0.76356354320668,0.328527803680482,0.302761890238207,0.344987975973534,0.160551753046791,0.246446874092692,0.169053301755676,0.427802250376654,0.299803652648321,0.18175593174337,0.424733753014875,0.325272176749196,39.1620464274638,-54.7172795667413,-46.0533275442438,23.0423471269977,32.0609266781891,-20.5332596179408,-17.9087436410991,1.81473086067106,-6.39122901002626,-9.57984508395878,-12.6080776956602,8.98676402989162,"post-punk",0
"The Ready Set","I'm Alive, I'm Dreaming (Deluxe)","2010-06-14","1c1J0ix7ZDtmAhxFE04T4k",2010,"5KqCkzcDvx04iUBpHhdiea","Melody's Song",172.170397912423,-3.16348474806906,0.375353674053284,0.583742168562603,0.589009118138838,0.330230011536174,0.387604884999184,0.34299413230241,0.502643280012098,0.394895551821266,0.306250325877388,0.473153425540826,0.279856726273088,0.414706299908903,54.7179266592559,84.2029217974262,18.7237379961036,-12.7033502729104,8.4782606915781,-32.6557940515854,4.70853016041891,3.43706222948701,-3.43108408036582,6.83455165189934,-9.64185715290392,-1.44656722973365,"post-punk",0
"Soda Stereo","SEP7IMO DIA","2017-03-10","0HUncweJW3LTO0YOvOEX4a",2017,"45utWFSZB3s3IZWdx4UHuc","Planeador (SEP7IMO DIA)",160.713798047198,-6.57853904115823,0.711191196298,0.515108222710505,0.399210016440101,0.386314495351027,0.324825498717783,0.329498098432057,0.31411420904827,0.43033726751881,0.365270900369666,0.372744386557769,0.528238709468301,0.493119099433495,51.0062982596527,68.7482459983579,37.796946756423,-1.26959348245793,5.67742433787353,-23.8508635244236,-0.897145944373698,3.12359923421597,-3.62985613666725,1.24342904024523,-7.38737401759576,-4.78812178973914,"post-punk",0
"The Cure","Wish (30th Anniversary Edition)","2022-11-25","2Zj1cFOmfPfykuXLVGXhhe",2022,"5BYejRBWfhQqbQsfX8rgeR","The Three Sisters - Dim-D Mix",76.7509329480308,-8.70588564074612,0.239027789419978,0.316303866506229,0.347636597461121,0.307143150014421,0.174694290562533,0.198064873914832,0.0815209591518058,0.0938833026759607,0.0968978720307317,0.232751850598052,0.392227421405906,0.196655944314121,46.972913951966,24.3246936560748,5.7273582354025,-5.07949413308145,14.5738263889904,-20.4812940050116,-8.97563427627417,-4.64368777978857,-6.29013158678358,-3.2220638544989,-12.1596212549007,-5.45521368010198,"post-punk",0
"The B-52's","Funplex","2008-01-01","7eLWUHoSGzGyIKoHyHh9oR",2008,"6XgyR6uXGItu63j3aDyrDr","Deviant Ingredient",127.86501419265,-6.3279286980004,0.442368716229371,0.702921543982096,0.479722351040671,0.55646456409469,0.670532115174453,0.655145073707864,0.737476286913317,0.468418710540983,0.473368533204615,0.458802632202985,0.368663091075492,0.404750745434031,52.3483744758593,105.437670105755,17.2605407560571,-14.3481715732138,-19.2592974469403,-28.6545865303095,-17.055699186846,-0.787106994271394,-9.96114999330313,2.03450326805909,-4.27750283830125,4.70063504207605,"post-punk",0
"Nico","The End...","1974-11-01","5gh8BEOwNgtuFj4Fmct9iq",1974,"2zintAlXAr7qKeT2vsbmNR","We've Got The Gold",92.2529071083457,-15.6753513806506,0.528547918570267,0.322017501962738,0.414728389460368,0.183609447301069,0.207535748760901,0.347158620415627,0.251489564109866,0.714463298797187,0.255918989221717,0.228708184006014,0.209380824693113,0.260699725819673,40.9841490380498,58.3113659462592,14.0063126968033,2.7170743527758,31.9262012225715,-24.1940422394166,6.53651744509823,-0.535648333288497,-5.6131145499865,5.9716984189254,-8.96328422199979,-1.76997606727638,"post-punk",0
